c3,Region
Europe & Central Asia,FRA
Europe & Central Asia,GEO
Europe & Central Asia,DEU
Europe & Central Asia,GIB
Europe & Central Asia,GRC
Europe & Central Asia,GRL
Europe & Central Asia,HUN
Europe & Central Asia,ISL
Europe & Central Asia,IRL
Europe & Central Asia,IMN
Europe & Central Asia,ITA
Europe & Central Asia,KAZ
Europe & Central Asia,XKX
Europe & Central Asia,KGZ
Europe & Central Asia,LVA
Europe & Central Asia,LIE
Europe & Central Asia,LTU
Europe & Central Asia,LUX
Europe & Central Asia,MDA
Europe & Central Asia,MCO
Europe & Central Asia,MNE
Europe & Central Asia,NLD
Europe & Central Asia,MKD
Europe & Central Asia,NOR
Europe & Central Asia,POL
Europe & Central Asia,PRT
Europe & Central Asia,ROU
Europe & Central Asia,RUS
Europe & Central Asia,SMR
Europe & Central Asia,SRB
Europe & Central Asia,SVK
Europe & Central Asia,SVN
Europe & Central Asia,ESP
Europe & Central Asia,SWE
Europe & Central Asia,CHE
Europe & Central Asia,TJK
Europe & Central Asia,TUR
Europe & Central Asia,TKM
Europe & Central Asia,UKR
Europe & Central Asia,GBR
Europe & Central Asia,UZB
Euro area,AUT
Euro area,BEL
Euro area,CYP
Euro area,EST
Euro area,FIN
Euro area,FRA
Euro area,DEU
Euro area,GRC
Euro area,IRL
Euro area,ITA
Euro area,LVA
Euro area,LTU
Euro area,LUX
Euro area,MLT
Euro area,NLD
Euro area,PRT
Euro area,SVK
Euro area,SVN
Euro area,ESP
European Union,AUT
European Union,BEL
European Union,BGR
European Union,HRV
European Union,CYP
European Union,CZE
European Union,DNK
European Union,EST
European Union,FIN
European Union,FRA
European Union,DEU
European Union,GRC
European Union,HUN
European Union,IRL
European Union,ITA
European Union,LVA
European Union,LTU
European Union,LUX
European Union,MLT
European Union,NLD
European Union,POL
European Union,PRT
European Union,ROU
European Union,SVK
European Union,SVN
European Union,ESP
European Union,SWE
Fragile and conflict affected situations,AFG
Fragile and conflict affected situations,BFA
Fragile and conflict affected situations,BDI
Fragile and conflict affected situations,CMR
Fragile and conflict affected situations,CAF
Fragile and conflict affected situations,TCD
Fragile and conflict affected situations,COM
Fragile and conflict affected situations,COD
Fragile and conflict affected situations,COG
Fragile and conflict affected situations,ERI
Fragile and conflict affected situations,ETH
Fragile and conflict affected situations,GNB
Fragile and conflict affected situations,HTI
Fragile and conflict affected situations,IRQ
Fragile and conflict affected situations,XKX
Fragile and conflict affected situations,LBN
Fragile and conflict affected situations,LBY
Fragile and conflict affected situations,MLI
Fragile and conflict affected situations,MHL
Fragile and conflict affected situations,FSM
Fragile and conflict affected situations,MOZ
Fragile and conflict affected situations,MMR
Fragile and conflict affected situations,NER
Fragile and conflict affected situations,NGA
Fragile and conflict affected situations,PNG
Fragile and conflict affected situations,SLB
Fragile and conflict affected situations,SOM
Fragile and conflict affected situations,SSD
Fragile and conflict affected situations,SDN
Fragile and conflict affected situations,SYR
Fragile and conflict affected situations,TLS
Fragile and conflict affected situations,TUV
Fragile and conflict affected situations,UKR
Fragile and conflict affected situations,VEN
Fragile and conflict affected situations,PSE
Fragile and conflict affected situations,YEM
Fragile and conflict affected situations,ZWE
High income,AND
High income,ATG
High income,ABW
High income,AUS
High income,AUT
High income,BHS
High income,BHR
High income,BRB
High income,BEL
High income,BMU
High income,VGB
High income,BRN
High income,CAN
High income,CYM
High income,CHI
High income,CHL
High income,HRV
High income,CUW
High income,CYP
High income,CZE
High income,DNK
High income,EST
High income,FRO
High income,FIN
High income,FRA
High income,PYF
High income,DEU
High income,GIB
High income,GRC
High income,GRL
High income,GUM
High income,HKG
High income,HUN
High income,ISL
High income,IRL
High income,IMN
High income,ISR
High income,ITA
High income,JPN
High income,KOR
High income,KWT
High income,LVA
High income,LIE
High income,LTU
High income,LUX
High income,MAC
High income,MLT
High income,MCO
High income,NRU
High income,NLD
High income,NCL
High income,NZL
High income,MNP
High income,NOR
High income,OMN
High income,PAN
High income,POL
High income,PRT
High income,PRI
High income,QAT
High income,ROU
High income,SMR
High income,SAU
High income,SYC
High income,SGP
High income,SXM
High income,SVK
High income,SVN
High income,ESP
High income,KNA
High income,MAF
High income,SWE
High income,CHE
High income,TWN
High income,TTO
High income,TCA
High income,ARE
High income,GBR
High income,USA
High income,URY
High income,VIR
Heavily indebted poor countries (HIPC),AFG
Heavily indebted poor countries (HIPC),BEN
Heavily indebted poor countries (HIPC),BOL
Heavily indebted poor countries (HIPC),BFA
Heavily indebted poor countries (HIPC),BDI
Heavily indebted poor countries (HIPC),CMR
Heavily indebted poor countries (HIPC),CAF
Heavily indebted poor countries (HIPC),TCD
Heavily indebted poor countries (HIPC),COM
Heavily indebted poor countries (HIPC),COD
Heavily indebted poor countries (HIPC),COG
Heavily indebted poor countries (HIPC),CIV
Heavily indebted poor countries (HIPC),ERI
Heavily indebted poor countries (HIPC),ETH
Heavily indebted poor countries (HIPC),GMB
Heavily indebted poor countries (HIPC),GHA
Heavily indebted poor countries (HIPC),GIN
Heavily indebted poor countries (HIPC),GNB
Heavily indebted poor countries (HIPC),GUY
Heavily indebted poor countries (HIPC),HTI
Heavily indebted poor countries (HIPC),HND
Heavily indebted poor countries (HIPC),LBR
Heavily indebted poor countries (HIPC),MDG
Heavily indebted poor countries (HIPC),MWI
Heavily indebted poor countries (HIPC),MLI
Heavily indebted poor countries (HIPC),MRT
Heavily indebted poor countries (HIPC),MOZ
Heavily indebted poor countries (HIPC),NIC
Heavily indebted poor countries (HIPC),NER
Heavily indebted poor countries (HIPC),RWA
Heavily indebted poor countries (HIPC),STP
Heavily indebted poor countries (HIPC),SEN
Heavily indebted poor countries (HIPC),SLE
Heavily indebted poor countries (HIPC),SOM
Heavily indebted poor countries (HIPC),SDN
Heavily indebted poor countries (HIPC),TZA
Heavily indebted poor countries (HIPC),TGO
Heavily indebted poor countries (HIPC),UGA
Heavily indebted poor countries (HIPC),ZMB
IBRD only,ALB
IBRD only,DZA
IBRD only,AGO
IBRD only,ATG
IBRD only,ARG
IBRD only,ARM
IBRD only,AZE
IBRD only,BLR
IBRD only,BLZ
IBRD only,BOL
IBRD only,BIH
IBRD only,BWA
IBRD only,BRA
IBRD only,BGR
IBRD only,CHL
IBRD only,CHN
IBRD only,COL
IBRD only,CRI
IBRD only,HRV
IBRD only,DOM
IBRD only,ECU
IBRD only,EGY
IBRD only,SLV
IBRD only,GNQ
IBRD only,SWZ
IBRD only,GAB
IBRD only,GEO
IBRD only,GTM
IBRD only,IND
IBRD only,IDN
IBRD only,IRN
IBRD only,IRQ
IBRD only,JAM
IBRD only,JOR
IBRD only,KAZ
IBRD only,LBN
IBRD only,LBY
IBRD only,MYS
IBRD only,MUS
IBRD only,MEX
IBRD only,MDA
IBRD only,MNG
IBRD only,MNE
IBRD only,MAR
IBRD only,NAM
IBRD only,NRU
IBRD only,MKD
IBRD only,PLW
IBRD only,PAN
IBRD only,PRY
IBRD only,PER
IBRD only,PHL
IBRD only,POL
IBRD only,ROU
IBRD only,RUS
IBRD only,SRB
IBRD only,SYC
IBRD only,ZAF
IBRD only,KNA
IBRD only,SUR
IBRD only,THA
IBRD only,TTO
IBRD only,TUN
IBRD only,TUR
IBRD only,TKM
IBRD only,UKR
IBRD only,URY
IBRD only,VEN
IBRD only,VNM
IDA & IBRD total,AFG
IDA & IBRD total,ALB
IDA & IBRD total,DZA
IDA & IBRD total,AGO
IDA & IBRD total,ATG
IDA & IBRD total,ARG
IDA & IBRD total,ARM
IDA & IBRD total,AZE
IDA & IBRD total,BGD
IDA & IBRD total,BLR
IDA & IBRD total,BLZ
IDA & IBRD total,BEN
IDA & IBRD total,BTN
IDA & IBRD total,BOL
IDA & IBRD total,BIH
IDA & IBRD total,BWA
IDA & IBRD total,BRA
IDA & IBRD total,BGR
IDA & IBRD total,BFA
IDA & IBRD total,BDI
IDA & IBRD total,CPV
IDA & IBRD total,KHM
IDA & IBRD total,CMR
IDA & IBRD total,CAF
IDA & IBRD total,TCD
IDA & IBRD total,CHL
IDA & IBRD total,CHN
IDA & IBRD total,COL
IDA & IBRD total,COM
IDA & IBRD total,COD
IDA & IBRD total,COG
IDA & IBRD total,CRI
IDA & IBRD total,CIV
IDA & IBRD total,HRV
IDA & IBRD total,DJI
IDA & IBRD total,DMA
IDA & IBRD total,DOM
IDA & IBRD total,ECU
IDA & IBRD total,EGY
IDA & IBRD total,SLV
IDA & IBRD total,GNQ
IDA & IBRD total,ERI
IDA & IBRD total,SWZ
IDA & IBRD total,ETH
IDA & IBRD total,FJI
IDA & IBRD total,GAB
IDA & IBRD total,GMB
IDA & IBRD total,GEO
IDA & IBRD total,GHA
IDA & IBRD total,GRD
IDA & IBRD total,GTM
IDA & IBRD total,GIN
IDA & IBRD total,GNB
IDA & IBRD total,GUY
IDA & IBRD total,HTI
IDA & IBRD total,HND
IDA & IBRD total,IND
IDA & IBRD total,IDN
IDA & IBRD total,IRN
IDA & IBRD total,IRQ
IDA & IBRD total,JAM
IDA & IBRD total,JOR
IDA & IBRD total,KAZ
IDA & IBRD total,KEN
IDA & IBRD total,KIR
IDA & IBRD total,XKX
IDA & IBRD total,KGZ
IDA & IBRD total,LAO
IDA & IBRD total,LBN
IDA & IBRD total,LSO
IDA & IBRD total,LBR
IDA & IBRD total,LBY
IDA & IBRD total,MDG
IDA & IBRD total,MWI
IDA & IBRD total,MYS
IDA & IBRD total,MDV
IDA & IBRD total,MLI
IDA & IBRD total,MHL
IDA & IBRD total,MRT
IDA & IBRD total,MUS
IDA & IBRD total,MEX
IDA & IBRD total,FSM
IDA & IBRD total,MDA
IDA & IBRD total,MNG
IDA & IBRD total,MNE
IDA & IBRD total,MAR
IDA & IBRD total,MOZ
IDA & IBRD total,MMR
IDA & IBRD total,NAM
IDA & IBRD total,NRU
IDA & IBRD total,NPL
IDA & IBRD total,NIC
IDA & IBRD total,NER
IDA & IBRD total,NGA
IDA & IBRD total,MKD
IDA & IBRD total,PAK
IDA & IBRD total,PLW
IDA & IBRD total,PAN
IDA & IBRD total,PNG
IDA & IBRD total,PRY
IDA & IBRD total,PER
IDA & IBRD total,PHL
IDA & IBRD total,POL
IDA & IBRD total,ROU
IDA & IBRD total,RUS
IDA & IBRD total,RWA
IDA & IBRD total,WSM
IDA & IBRD total,STP
IDA & IBRD total,SEN
IDA & IBRD total,SRB
IDA & IBRD total,SYC
IDA & IBRD total,SLE
IDA & IBRD total,SLB
IDA & IBRD total,SOM
IDA & IBRD total,ZAF
IDA & IBRD total,SSD
IDA & IBRD total,LKA
IDA & IBRD total,KNA
IDA & IBRD total,LCA
IDA & IBRD total,VCT
IDA & IBRD total,SDN
IDA & IBRD total,SUR
IDA & IBRD total,SYR
IDA & IBRD total,TJK
IDA & IBRD total,TZA
IDA & IBRD total,THA
IDA & IBRD total,TLS
IDA & IBRD total,TGO
IDA & IBRD total,TON
IDA & IBRD total,TTO
IDA & IBRD total,TUN
IDA & IBRD total,TUR
IDA & IBRD total,TKM
IDA & IBRD total,TUV
IDA & IBRD total,UGA
IDA & IBRD total,UKR
IDA & IBRD total,URY
IDA & IBRD total,UZB
IDA & IBRD total,VUT
IDA & IBRD total,VEN
IDA & IBRD total,VNM
IDA & IBRD total,YEM
IDA & IBRD total,ZMB
IDA & IBRD total,ZWE
IDA total,AFG
IDA total,BGD
IDA total,BEN
IDA total,BTN
IDA total,BFA
IDA total,BDI
IDA total,CPV
IDA total,KHM
IDA total,CMR
IDA total,CAF
IDA total,TCD
IDA total,COM
IDA total,COD
IDA total,COG
IDA total,CIV
IDA total,DJI
IDA total,DMA
IDA total,ERI
IDA total,ETH
IDA total,FJI
IDA total,GMB
IDA total,GHA
IDA total,GRD
IDA total,GIN
IDA total,GNB
IDA total,GUY
IDA total,HTI
IDA total,HND
IDA total,KEN
IDA total,KIR
IDA total,XKX
IDA total,KGZ
IDA total,LAO
IDA total,LSO
IDA total,LBR
IDA total,MDG
IDA total,MWI
IDA total,MDV
IDA total,MLI
IDA total,MHL
IDA total,MRT
IDA total,FSM
IDA total,MOZ
IDA total,MMR
IDA total,NPL
IDA total,NIC
IDA total,NER
IDA total,NGA
IDA total,PAK
IDA total,PNG
IDA total,RWA
IDA total,WSM
IDA total,STP
IDA total,SEN
IDA total,SLE
IDA total,SLB
IDA total,SOM
IDA total,SSD
IDA total,LKA
IDA total,LCA
IDA total,VCT
IDA total,SDN
IDA total,SYR
IDA total,TJK
IDA total,TZA
IDA total,TLS
IDA total,TGO
IDA total,TON
IDA total,TUV
IDA total,UGA
IDA total,UZB
IDA total,VUT
IDA total,YEM
IDA total,ZMB
IDA total,ZWE
IDA blend,CPV
IDA blend,CMR
IDA blend,COG
IDA blend,DMA
IDA blend,FJI
IDA blend,GRD
IDA blend,KEN
IDA blend,NGA
IDA blend,PAK
IDA blend,PNG
IDA blend,LCA
IDA blend,VCT
IDA blend,TLS
IDA blend,UZB
IDA blend,ZWE
IDA only,AFG
IDA only,BGD
IDA only,BEN
IDA only,BTN
IDA only,BFA
IDA only,BDI
IDA only,KHM
IDA only,CAF
IDA only,TCD
IDA only,COM
IDA only,COD
IDA only,CIV
IDA only,DJI
IDA only,ERI
IDA only,ETH
IDA only,GMB
IDA only,GHA
IDA only,GIN
IDA only,GNB
IDA only,GUY
IDA only,HTI
IDA only,HND
IDA only,KIR
IDA only,XKX
IDA only,KGZ
IDA only,LAO
IDA only,LSO
IDA only,LBR
IDA only,MDG
IDA only,MWI
IDA only,MDV
IDA only,MLI
IDA only,MHL
IDA only,MRT
IDA only,FSM
IDA only,MOZ
IDA only,MMR
IDA only,NPL
IDA only,NIC
IDA only,NER
IDA only,RWA
IDA only,WSM
IDA only,STP
